-6.585426	0.596349	-1.042567	1.279659	-0.536352	-0.294516	0.494987	-0.448797	-1.469161	-0.807755	-0.443452	1.133413	0.458759	0.275193	0.541125	26.747147
-9.121699	-0.290319	-0.117563	-0.075948	-0.435979	-0.476103	-0.479251	-0.066054	-1.385602	0.583575	-0.505649	0.678022	0.904921	-0.220227	-0.052978	27.101112
-7.300693	-0.187971	-1.091969	0.748229	0.105595	0.273981	0.652187	-0.478991	0.017470	-0.360916	-0.076948	0.044642	0.181279	-0.204175	0.445298	27.093756
-7.906328	0.662588	-2.379765	1.064549	1.167149	0.058855	0.310753	-0.749147	-0.465845	-0.847145	-0.430313	0.553210	0.672850	-0.195566	-0.935154	27.073309
-7.659465	1.282361	-1.525452	0.635873	0.463023	1.201267	1.145572	1.280204	0.829480	0.256524	-0.261692	-0.702062	-0.661110	-0.870497	-0.962339	26.929716
-7.085601	0.340417	-0.782804	-0.111458	-0.860592	0.296331	1.128876	0.073407	-0.285767	-0.028630	-0.023224	0.068726	0.009129	-0.553376	0.208418	26.117544
-9.003331	-2.249472	-1.127962	0.197346	0.455065	-0.753722	0.453823	-0.711062	0.244119	-1.091744	0.330361	-0.061892	-0.756501	-0.522045	0.145146	24.109493
-8.773047	1.596656	3.711485	-2.346590	-2.193616	0.038492	-1.849880	1.781317	0.769055	1.795344	-0.646332	0.326056	-1.011147	-0.854813	0.072985	25.991390
-9.087267	0.113272	2.497510	-2.780958	-3.215398	0.943544	-1.210988	1.641700	0.364333	1.413439	0.519845	0.280836	-1.266879	-0.814008	-0.342332	26.583839
-7.479620	1.835595	3.711976	-3.310322	-4.175439	1.063362	-2.651982	1.187900	-0.960372	1.710860	-0.969058	-0.709328	-0.176712	-1.081474	-0.204925	25.959709
-8.921413	-0.751264	0.168438	-0.814147	-1.355135	-0.561363	-1.272922	-0.653134	-0.768238	0.188049	-0.224524	0.735876	1.041182	-0.069188	0.568604	24.070391
